country_zh,country_en,city_zh,city_en
中国香港,"Hong Kong, China",中国香港,Hong Kong (China)
加拿大,Canada,多伦多,Toronto
巴西,Brazil,圣保罗,Sao Paulo
日本,Japan,东京,Tokyo
波兰,Poland,华沙,Warsaw
瑞典,Sweden,斯德哥尔摩,Stockholm
美国,United States of America,圣地亚哥,San Diego
美国,United States of America,奥斯汀,Austin
美国,United States of America,山景城,Mountain View
美国,United States of America,旧金山,San Francisco
美国,United States of America,洛杉矶,Los Angeles
美国,United States of America,洛杉矶,Los Angeles
美国,United States of America,纽约,New York
美国,United States of America,西雅图,Seattle
英国,United Kingdom of Great Britain and Northern Ireland,伦敦,London
越南,Viet Nam,胡志明市,Ho Chi Minh City
美国,United States of America,迈阿密,Miami
美国,United States of America,阿什本,Ashburn
尼日利亚,Nigeria,拉各斯,Lagos
美国,United States of America,圣莫尼卡,Santa Monica
美国,United States of America,波士顿,Boston
巴西,Brazil,里约,Rio de Janeiro
肯尼亚,Kenya,内罗毕,Nairobi
赞比亚,Zambia,卢萨卡,Lusaka
美国,United States of America,圣克拉拉,Santa Clara
美国,United States of America,圣克拉拉,Santa Clara
印度,India,新德里,New Delhi
法国,France,波尔多,Bordeaux
美国,United States of America,圣巴巴拉,Santa Barbara County
美国,United States of America,凤凰城,Phoenix
哥伦比亚,Colombia,波哥大,Bogota
哈萨克斯坦,Kazakhstan,阿斯塔纳,Astana
挪威,Norway,奥斯陆,Oslo
美国,United States of America,丹佛,Denver
菲律宾,Philippines,塔吉格,Taguig
澳大利亚,Australia,墨尔本,Melbourne
澳大利亚,Australia,墨尔本,Melbourne
尼日利亚,Nigeria,拉各斯,Lagos
以色列,Israel,特拉维夫,Tel Aviv-Yafo
俄罗斯,Russia,莫斯科,Moscow
加拿大,Canada,多伦多,Toronto
加拿大,Canada,温哥华,Vancouver
南非,South Africa,约翰内斯堡,Johannesburg
印度尼西亚,Indonesia,雅加达,Jakarta
土耳其,Turkey,伊斯坦布尔,Istanbul
埃及,Egypt,开罗,Cairo
墨西哥,Mexico,墨西哥城,Mexico City
巴西,Brazil,圣保罗,Sao Paulo
德国,Germany,慕尼黑,Munich
德国,Germany,柏林,Berlin
德国,Germany,汉堡,Hamburg
意大利,Italy,米兰,Milano
摩洛哥,Morocco,卡萨布兰卡,Casablanca
新加坡,Singapore,新加坡,Singapore
新西兰,New Zealand,奥克兰,Auckland
日本,Japan,东京,Tokyo
日本,Japan,大阪,Osaka
沙特阿拉伯,Saudi Arabia,利雅得,Riyadh
法国,France,巴黎,Paris
波兰,Poland,华沙,Warsaw
泰国,Thailand,曼谷,Bangkok
澳大利亚,Australia,悉尼,Sydney
爱尔兰,Ireland,都柏林,Dublin
瑞典,Sweden,斯德哥尔摩,Stockholm
美国,United States of America,华盛顿哥伦比亚特区,Washington D.C.
美国,United States of America,圣地亚哥,San Diego
美国,United States of America,奥斯汀,Austin
美国,United States of America,尔湾,Irvine
美国,United States of America,山景城,Mountain View
美国,United States of America,底特律,Detroit
美国,United States of America,旧金山,San Francisco
美国,United States of America,纳什维尔,Nashville
美国,United States of America,纽约,New York
美国,United States of America,芝加哥,Chicago
美国,United States of America,西雅图,Seattle
英国,United Kingdom of Great Britain and Northern Ireland,伦敦,London
西班牙,Spain,马德里,Madrid
越南,Viet Nam,河内,Hanoi
越南,Viet Nam,胡志明市,Ho Chi Minh City
阿联酋,United Arab Emirates,迪拜,Emirate of Dubai
韩国,Korea (Republic of),首尔,Seoul special city
马来西亚,Malaysia,吉隆坡,Kuala Lumpur
印度,India,古尔冈,Gurgaon
印度,India,孟买,Mumbai
菲律宾,Philippines,马尼拉,Manila
荷兰,Netherlands,阿姆斯特丹,Amsterdam
美国,United States of America,亚特兰大,Atlanta
比利时,Belgium,布鲁塞尔,Brussels
西班牙,Spain,巴塞罗那,Barcelona
瑞典,Sweden,马尔默市,Malmo
美国,United States of America,圣克拉拉,Santa Clara
美国,United States of America,卡尔弗城,Culver City
美国,United States of America,圣何塞,San Jose
丹麦,Denmark,哥本哈根,Copenhagen
哈萨克斯坦,Kazakhstan,阿拉木图,Almaty
美国,United States of America,希尔斯伯勒,Hillsboro
德国,Germany,杜塞尔多夫,Düsseldorf
美国,United States of America,斯科茨代尔,Scottsdale
阿根廷,Argentina,布宜诺斯艾利斯,Buenos Aires
菲律宾,Philippines,马尼拉,Metro Manila
菲律宾,Philippines,帕西,Pasig
挪威,Norway,万昂,Vang på
